name,length,starring,year,notes,recorded_bought,inserted,updated
Bio-Dome,,,,,0,5/13/2010 22:30,5/16/2010 19:23
bird on a wire,,,,,0,5/13/2010 22:30,5/16/2010 19:23
"Birdcage, The",,,,,0,5/13/2010 22:30,5/16/2010 19:23
"black dahlia, the",,,,,0,5/13/2010 22:30,5/16/2010 19:23
Black Widow,1:42,Debra .Winger,1987,,0,5/13/2010 22:30,1/20/2011 23:42
Blackbeard's Ghost,,"P.Ustinov,S.Pleshette",,Carribean,0,5/13/2010 22:30,12/30/2010 23:10
Blackboard Jungle,,Glen Ford,,,0,5/13/2010 22:30,6/1/2012 11:04
Blackhawk Down,1:44,"Josh Hartnett, Ewen McGregor,Tom Sizemore",2001,,0,5/13/2010 22:30,6/1/2012 11:06
blades of glory,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Blankman,,,,,0,5/13/2010 22:30,5/16/2010 19:23
blood diamonds,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Blood Work,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Blue Crush,1:45,Kate Bosworth,2002,Hawaii,0,5/13/2010 22:30,1/8/2011 12:19
Blue Hawaii,1:43,"Elvis, Joan Blackman",1969,Hawaii,0,5/13/2010 22:30,5/31/2012 19:47
Blue Lagoon,1:44,Brook Shields,1980,,0,5/13/2010 22:30,2/16/2011 22:59
Blue Steel,,,,,0,5/13/2010 22:30,5/16/2010 19:23
blue streak,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Blue Valley Songbird,,"Dolly, Billy Dean",,,0,5/13/2010 22:30,1/8/2011 12:22
"Blues Brothers, The",,,,,0,5/13/2010 22:30,5/16/2010 19:23
Bob & Carol & Ted & Alice,1:45,"N.Wood, R.Culp,E.Gould,D.Cannon",1969,,0,5/13/2010 22:30,5/31/2012 19:48
Bobby Deerfield,,"A.Pacino, M.Keller",1977,Europe,0,5/13/2010 22:30,12/30/2010 23:13
Body Heat ,1:53,"Kathleen Turner, Wm. Hurt",1981,,0,5/13/2010 22:30,2/16/2011 23:04
Body of Lies,,,,,0,5/13/2010 22:30,5/16/2010 19:23
bogie,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Bogus,,"Whoopie, G.Depardiou",,,0,5/13/2010 22:30,5/31/2012 19:49
"boing, boing",,,,,0,5/13/2010 22:30,5/16/2010 19:23
Bolt,,,,,0,5/13/2010 22:30,5/16/2010 19:23
"Bone Collectors, The",,,,,0,5/13/2010 22:30,5/16/2010 19:23
Bonjour Trieste,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Bonnie and Clyde,,"W.Beatty, F.Dunaway,N.Beatty",,,0,5/13/2010 22:30,5/31/2012 19:49
Boomerang,,,,,0,5/13/2010 22:30,5/16/2010 19:23
borat,,,,,0,5/13/2010 22:30,5/16/2010 19:23
born on the 4th of july,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Born Yesterday,,Judy Holliday,,,0,5/13/2010 22:30,5/31/2012 19:50
Borrowed Hearts,1:37,"Roma Downey, Eric McCormack",1997,,0,5/13/2010 22:30,5/5/2011 21:50
bottle rocket,,,,,0,5/13/2010 22:30,5/16/2010 19:23
bounce,,,,,0,5/13/2010 22:30,5/16/2010 19:23
bow finger,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Bowery Bombshell,,,,Bowery Boys,0,5/13/2010 22:30,12/30/2010 21:22
Bowery Buckeroos,,,,Bowery Boys,0,5/13/2010 22:30,12/30/2010 21:23
Bowling for Columbine,2:00,"Michael Moore, Geo.W.Bush, Charlton Heston",2002,Doc,0,5/13/2010 22:30,1/31/2013 19:39
boynton beach club,,"D,Cannon, J.Bologna",,Florida,0,5/13/2010 22:30,12/30/2010 23:14
"boys from brazil, the",,,,,0,5/13/2010 22:30,5/16/2010 19:23
brando,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Brannigan,,John Wayne,,,0,5/13/2010 22:30,5/31/2012 19:52
"Brave One, The",2:02,"Jodie Foster, Terrence Howard",2007,,0,5/13/2010 22:30,3/27/2013 15:30
breach,,,,,0,5/13/2010 22:30,5/16/2010 19:23
bread and tulips,,,,,0,5/13/2010 22:30,5/16/2010 19:23
"Break Up, The",,,,,0,5/13/2010 22:30,5/16/2010 19:23
"breakfast club, the",,,,,0,5/13/2010 22:30,5/16/2010 19:23
